Publication number,Title,Publication date,Inventors,country_name,Title_language,country_code,Applicants,Family number,ABSTRACT
CN101209351A  CN101209351B,Ankara vaccinia virus genetic engineering vaccine for pig replication and respiration complex,2008-07-02  2011-05-18,ZHONGDE WANG [CN]  JIANGNAN FENG [CN]  YONGLIN SUN [CN]  QINQIN HU [CN]  JUAN WU [CN]  QIANQIAN WANG [CN]  JIA WEI [CN]  CHAO LI [CN]  YAN JUN [CN]  QINQIN HU  YONGLIN SUN  JUAN WU  ZHONGDE WANG  CHAO LI  JIA WEI  JIANGNAN FENG  QIANQIAN WANG  YAN JUN,China,en,CN,WUCHANG SHIPYARD [CN]  WUCHANG SHIPBUILDING IND CO,39609712,ankara vaccinia virus genetic engineering vaccine pig replication respiration complex
EP1829887A1  EP1829887A4  EP1829887B1,CPG SINGLE-STRAND DEOXYNUCLEOTIDES FOR USE AS ADJUVANT,2007-09-05  2008-06-25  2011-08-24,WANG LIYING [CN]  BAO MUSHENG [CN]  YU YONGLI [CN],European Patent Office (EPO),de,EP,CHANGCHUN HUAPU BIOTECHNOLOGY [CN]  CHANGCHUN HUAPU BIOTECHNOLOGY CO LTD [CN],36497749,cpg singlestrand deoxynucleotides use adjuvant
CN116949067A  CN116949067B,Nervous necrosis virus CP4 protein coding gene as well as preparation method and application thereof,2023-10-27  2023-11-21,WANG WENBO  WANG ERLONG  LIU GAOYANG  JIAO TIEJUN  MENG QIANG  LU JING  MA RUI,China,en,CN,SHENZHEN WANKESEN BIOLOGICAL TECH CO LTD  YANGLING WANKESEN RES AND DEVELOPMENT CENTER CO LTD,88462482,nervous necrosis virus cp protein coding gene well preparation method application thereof
CN113817070A  CN113817070B,ELISA detection kit for type 1 duck hepatitis A virus specific fusion protein S1 antigen and type 1 duck hepatitis A virus antibody,2021-12-21  2022-11-22,HU YULI  LIU GUOXING  ZHU CHUNHUA  XU SONG  GU SUYUN  XIAO AIFANG  ZHOU PING  XIE HONGLING  SHI BAOLAN  QI SHIHUA  FENG ZHAO,China,en,CN,SINOPHARM ANIMAL HEALTH CORP LTD,78913139,elisa detection kit type duck hepatitis virus specific fusion protein antigen type duck hepatitis virus antibody
CN104530230A  CN104530230B,Duck hepatitis A virus VP1 protein gene and application thereof,2015-04-22  2018-01-30,WANG HONGHUA,China,en,CN,QINGDAO HONGHAO BIOLOG TECHNOLOGY CO LTD,52845890,duck hepatitis virus vp protein gene application thereof
CN104328135A  CN104328135B,Duck Tembusu virus E protein-LTB fusion protein and application thereof,2015-02-04  2017-01-18,HOU ZHUMEI,China,en,CN,UNIV QINGDAO AGRICULTURAL,52402940,duck tembusu virus e proteinltb fusion protein application thereof
WO0111066A1,"NON-HUMAN ADENOVIRAL VECTOR FOR GENE TRANSFER, ITS USE AND THE PRODUCTION THEREOF",15/02/2001,LOESER PETER [DE]  HOFMANN CHRISTIAN [DE],World Intellectual Property Organization (WIPO),en,WO,HEPAVEC AG FUER GENTHERAPIE [DE]  LOESER PETER [DE]  HOFMANN CHRISTIAN [DE],26005350,nonhuman adenoviral vector gene transfer use production thereof
CN1196408C  CN1401246A,"Agricultural chemical contg. insect viruses synergist protein, and use thereof",2003-03-12  2005-04-13,MENG XIAOLIN [CN]  XU JINPING [CN]  WANG JIAN [CN],China,en,CN,UNIV WUHAN [CN],4749857,agricultural chemical contg insect viruses synergist protein use thereof
CN116555141A  CN116555141B,Bacillus subtilis for expressing porcine Senecavirus recombinant protein and application thereof,2023-08-08  2023-11-03,YANG ZHEN  LIU GANG  LI MINGYI  GUO YAFEI  LI YI  LIU XINRAN  ZHANG XINLING,China,en,CN,QINGDAO HAIHUA ZHONGKANG TECH CO LTD,87488731,bacillus subtilis expressing porcine senecavirus recombinant protein application thereof
WO2022174170A1,DESTROYING CANCER CELLS WHILE MAINTAINING HEALTHY CELL INTEGRITY,18/08/2022,POSTREL RICHARD [US],World Intellectual Property Organization (WIPO),en,WO,POSTREL RICHARD [US],82837970,destroying cancer cells maintaining healthy cell integrity
CN1297043A,Chinese bollworm virogenic engineering strain No.1,30/05/2001,CHEN XINWEN [CN]  HU ZHIHONG [CN]  VLAK J M [CN],China,en,CN,WUHAN INST OF VIRUSES CHINESE [CN],5279464,chinese bollworm virogenic engineering strain
CN114181287A  CN114181287B,Preparation method of DNA (Deoxyribose Nucleic Acid) virus vaccine,2022-03-15  2023-09-19,WANG YANHUI  ZHANG XIANFENG  LI ZIBO  ZHOU XIN  LI HOUWEI  LI GUOHUI  JIAO JINYING  JI XINGYU,China,en,CN,SHANGQIANHUA BIOLOGICAL VACCINE LTD COMPANY,80604243,preparation method dna deoxyribose nucleic acid virus vaccine
CN102266555A  CN102266555B,Method for preparing grass carp reovirus (GCRV) gene engineering vaccines,2011-12-07  2014-03-12,FANG QIN  DING QINGQUAN  SHAO LING  SUN XIAOYUN,China,en,CN,WUHAN INST VIROLOGY CAS,45049135,method preparing grass carp reovirus gcrv gene engineering vaccines
CA2352439A1,ENGINEERING ONCOLYTIC VIRUSES,17/01/2003,FARASSATI FARIS [CA]  LEE PATRICK W K [CA],Canada,de,CA,FARASSATI FARIS [CA]  LEE PATRICK W K [CA],4169411,engineering oncolytic viruses
CN1781553A,Subunit vaccine of H5N1 subtype bird flu virus gene ergineering and its preparing method,07/06/2006,MENG QINGWEN YU [CN],China,en,CN,HARBIN VETERINARY INST CHINESE [CN],36772424,subunit vaccine hn subtype bird flu virus gene ergineering preparing method
CN116640801A,COVID-19 virus genetic engineering preventive vaccine and preparation method thereof,25/08/2023,WANG LILIANG,China,en,CN,WANG LILIANG,87621658,covid virus genetic engineering preventive vaccine preparation method thereof
CN1429902A,Recombination bollworm monokaryon capsid polyhedrosis virus for expression polghedrosis and chitinase fusion protein and its preparation method,16/07/2003,WU DONG [CN]  CHEN XINWEN [CN]  HU ZHIHONG [CN],China,en,CN,WUHAN VIRUS INST CHINESE ACADE [CN],4674571,recombination bollworm monokaryon capsid polyhedrosis virus expression polghedrosis chitinase fusion protein preparation method
WO2020150499A1,METHODS TO TAG AND ISOLATE CELLS INFECTED WITH THE HUMAN IMMUNODEFICIENCY VIRUS,23/07/2020,JEROME KEITH [US]  STONE DANIEL [US],World Intellectual Property Organization (WIPO),en,WO,HUTCHINSON FRED CANCER RES [US],71613453,methods tag isolate cells infected human immunodeficiency virus
CN1920572A,Detection method of Hepatitis C virus antibody self hemagglutination,28/02/2007,LI CHENYANG LI [CN],China,en,CN,HENAN BIOENGINEERING TECHNOLOG [CN],37778336,detection method hepatitis c virus antibody self hemagglutination
EP0199301A1  EP0199301B1  EP0199301B2,Recombinant acquired immune deficiency syndrome (AIDS) viral envelope protein and method of testing for AIDS.,1986-10-29  1993-12-29  1997-07-09,CROWL ROBERT MITCHELL [US]  GALLO ROBERT CHARLES [US]  REDDY ERAGAM PREMKUMAR [US]  SHAW GEORGE MEAD [US]  WONG-STAAL FLOSSIE YEECHING [US]  CROWL ROBERT MITCHELL  GALLO ROBERT CHARLES  REDDY ERAGAM PREMKUMAR  SHAW GEORGE MEAD  WONG-STAAL FLOSSIE YEECHING,European Patent Office (EPO),en,EP,HOFFMANN LA ROCHE [CH]  US HEALTH [US],24912812,recombinant acquired immune deficiency syndrome aids viral envelope protein method testing aids
EP0363414A1  EP0363414A4  EP0363414B1,INTRANASAL IMMUNIZATION AGAINST VIRAL INFECTION USING VIRAL GLYCOPROTEIN SUBUNIT VACCINE.,1990-04-18  1990-03-21  1995-03-01,COMPANS RICHARD W [US]  RAY RANJIT [US]  COMPANS RICHARD W  RAY RANJIT,European Patent Office (EPO),ca,EP,MOLECULAR ENG ASS [US]  SECRETECH INC [US],21945570,intranasal immunization viral infection using viral glycoprotein subunit vaccine
CN110499296A,Heat-resistant gene engineering vaccine candidate strain of serum 8b-type avian adenovirus and construction method thereof,26/11/2019,CAO YONGZHONG  ZHANG XIAORONG  WU YANTAO  LI BAOZHEN  CHEN YIN  GUO MENGJIAO  ZHANG CHENGCHENG  RUAN BAOYANG,China,en,CN,UNIV YANGZHOU,68588570,heatresistant gene engineering vaccine candidate strain serum btype avian adenovirus construction method thereof
CN106421771A,H7N9 subtype avian influenza genetic engineering vaccine taking baculovirus as carrier as well as preparation method and application of vaccine,22/02/2017,LIAO MING  ZHANG JIAO  FAN HUIYING  ZHANG ZHEN,China,en,CN,UNIV SOUTH CHINA AGRICULT,58184090,hn subtype avian influenza genetic engineering vaccine taking baculovirus carrier well preparation method application vaccine
CN111143846A  CN111143846B,DCS information security protection method and system based on intermediate machine virus searching and killing,2020-05-12  2022-03-22,MA QUAN  LUO QI  WU ZHIQIANG  HUANG PENG  LIU MINGMING  ZHANG ZIPENG  LIU YANYANG  WANG YUANBING,China,en,CN,NUCLEAR POWER INST CHINA,70521158,dcs information security protection method system based intermediate machine virus searching killing
EP0775747A2  EP0775747A3  EP0775747B1,Genes of the hop latent virus and methods for detecting the same,1997-05-28  1998-06-10  2006-03-08,SUDA NARUSHI [JP]  ITOGA YUTAKA [JP]  HATAYA TATSUZI [JP],European Patent Office (EPO),en,EP,SAPPORO BREWERIES [JP],26563054,genes hop latent virus methods detecting
CN105734066A  CN105734066B,Method for constructing eukaryon Hansenula polymorpha engineering bacteria with recombinant hepatitis B virus genes and method for producing hepatitis B surface antigens,2016-07-06  2019-08-23,HUANG ENQI  WU CHANGWEI  LI CHAO  WANG LIWEI  LIU SHUMIN  CHENG YINGJIE  TAO LIFENG  YANG SHILONG,China,en,CN,ANHUI ZHIFEI LONGCOM BIOPHARMACEUTICAL CO LTD,56250276,method constructing eukaryon hansenula polymorpha engineering bacteria recombinant hepatitis b virus genes method producing hepatitis b surface antigens
CN103626878A  CN103626878B,Newcastle disease virus F protein and enterotoxin LTB fusion protein and application thereof,2014-03-12  2015-03-18,HOU ZHUMEI  FANG HUAHUA  FENG YANNI  WANG FENGWU  WANG JINYE,China,en,CN,UNIV QINGDAO AGRICULTURAL,50208353,newcastle disease virus f protein enterotoxin ltb fusion protein application thereof
CN115850523A,HSV (herpes simplex virus) type I specific fusion protein antigen as well as preparation method and detection kit thereof,28/03/2023,DU JINFANG  YANG FAN  SHAN JINHONG  ZHANG CHUNYAO  WANG TING  TIAN YONGSHUAI  LIU WANJIAN  LIU AIHUA,China,en,CN,QINGDAO SHUOJING BIOLOGICAL TECH CO LTD  QINGDAO HIGHTOP BIOTECH CO LTD,85655637,hsv herpes simplex virus type specific fusion protein antigen well preparation method detection kit thereof
DE10049587A1,Vektorsystem für Pflanzen,02/05/2002,DOROKHOV YURII [RU]  IVANOV PETER [RU]  ATABEKOV JOSEPH [RU]  GLEBA YURI [DE],Germany,de,DE,ICON GENETICS AG [DE],7658921,vektorsystem fr pflanzen
EP3494997A1  EP3494997B1,INDUCIBLE DNA BINDING PROTEINS AND GENOME PERTURBATION TOOLS AND APPLICATIONS THEREOF,2019-06-12  2019-09-18,ZHANG FENG [US]  BRIGHAM MARK [US]  CONG LE [US]  KONERMANN SILVANA [CH]  SANJANA NEVILLE ESPI [US],European Patent Office (EPO),en,EP,BROAD INST INC [US]  MASSACHUSETTS INST TECHNOLOGY [US]  HARVARD COLLEGE [US],48914461,inducible dna binding proteins genome perturbation tools applications thereof
CN109355308A  CN109355308B,Method for cultivating transgenic soybeans with genus potyvirus broad-spectrum virus resistance,2019-02-19  2022-01-11,ZHI HAIJIAN  GAO LE  LUO JINYAN  DING XUENI  LI KAI  WANG TAO  ZHAI RUI,China,en,CN,UNIV NANJING AGRICULTURAL,65331273,method cultivating transgenic soybeans genus potyvirus broadspectrum virus resistance
CN117143207A  CN117143207B,"Recombinant epitope protein, coding gene, recombinant plasmid, preparation method, engineering bacterium and application",2023-12-01  2024-03-12,WANG DONGLIANG  ZHOU WENFENG  ZHANG YAN,China,en,CN,HUNAN PAIZHI BIOTECHNOLOGY CO LTD,88886520,recombinant epitope protein coding gene recombinant plasmid preparation method engineering bacterium application
CN105802921A  CN105802921B,Recombination pesudorabies virus variant for expressing hog cholera virus E2 protein and establishment method and application of recombination pesudorabies virus variant,2016-07-27  2020-08-18,QIU HUAJI  SUN YUAN  LEI JIANLIN  LUO YUZI,China,en,CN,HARBIN VET RES INST CAAS,56460508,recombination pesudorabies virus variant expressing hog cholera virus e protein establishment method application recombination pesudorabies virus variant
EP0298918A2  EP0298918A3  EP0298918B1,Inducible virus resistance in plants.,1989-01-11  1990-12-19  2001-09-05,HOHN THOMAS DR [CH]  BONNEVILLE JEAN-MARC DR [CH]  FUTTERER JOHANNES DR [CH]  GORDON KARL DR [DE]  SANFACON HELENE DR [CH]  HOHN THOMAS DR  BONNEVILLE JEAN-MARC DR  FUETTERER JOHANNES DR  GORDON KARL DR  SANFACON HELENE DR,European Patent Office (EPO),fr,EP,CIBA GEIGY AG [CH]  SYNGENTA PARTICIPATIONS AG [CH],4238405,inducible virus resistance plants
CN1109105C  CN1291649A,Genetically engineered virus of Chinese ballworm,2001-04-18  2003-05-21,WANG HUALIN [CN]  CHEN XINWEN [CN]  SUN XIULIAN [CN],China,en,CN,WUHAN INST OF VIRUSES CHINESE [CN],4594504,genetically engineered virus chinese ballworm
EP1013667A2  EP1013667A3  EP1013667B1,Process for preparation of cytokine using a sendai virus expression system,2000-06-28  2000-07-05  2006-10-11,KAI CHIEKO [JP]  KATO ATSUSHI [JP],European Patent Office (EPO),en,EP,NIPPON BIOCAPITAL LIMITED [JP]  NIPPON BIOLOG INC [JP]  UNIV TOKYO [JP],18086915,process preparation cytokine using sendai virus expression system
CN116396400A,Avian leukemia virus multi-subtype antigen epitope fusion protein and application thereof,07/07/2023,ZHOU DI  LI ZHAOWEI  WANG XIN  LIANG ZHENGWEN  LI XINGXING  HU CHUNLING  TIAN SONGJUN  ZHAO ZHONGHAI  WANG ZHENMEI  LYU YANLI  YANG JIANJUN  WU YU  SHEN YIN,China,en,CN,GUIZHOU PROVINCE BREEDING LIVESTOCK AND POULTRY GERMPLASM DETERMINATION CENTER,87009229,avian leukemia virus multisubtype antigen epitope fusion protein application thereof
CN105602981A  CN105602981B,Preparation method and application of porcine epidemic diarrhea virus genetic engineering subunit oral combined vaccine,2016-05-25  2021-01-05,SHAN HU  GAI CHUNYUN  ZHANG HONGLIANG  HUANG JUAN  QIN ZHIHUA,China,en,CN,UNIV QINGDAO AGRICULTURAL,55983324,preparation method application porcine epidemic diarrhea virus genetic engineering subunit oral combined vaccine
CN104096241A  CN104096241B,ALV (avian leukosis virus)-A genetic engineering subunit vaccine,2014-10-15  2017-01-25,ZHANG HENG  FAN GENCHENG  DU YUANZHAO,China,en,CN,YEBIO BIOENG CO LTD QINGDAO,51665030,alv avian leukosis virusa genetic engineering subunit vaccine
CN113869541A,"Laboratory engineering method and system for contact-free virus experiment, equipment and medium",31/12/2021,ZHU XIAOXI  XIONG YAJIE,China,en,CN,SHENZHEN JIAHONGSHUN IND CO LTD,78991481,laboratory engineering method system contactfree virus experiment equipment medium
CN101919410A  CN101919410B,Enhanced CpGV virus preparation and preparation method thereof,2010-12-22  2013-07-17,DUN WANG  YALIN ZHANG  JIAN LI  YUQIN WANG  HONGXING XU  CHUNHAN ZHENG  KUN DONG  LI XU  WANG DUN  ZHANG YALIN  LI JIAN  WANG YUQIN  XU HONGXING  ZHENG CHUNHAN  DONG KUN  XU LI,China,en,CN,UNIV NORTHWEST A&F,43334854,enhanced cpgv virus preparation preparation method thereof
CN102690792A,"Anti-human immunodeficiency virus (HIV) gene engineering recombinant virus and preparation method thereof, and anti-HIV gene engineering medicament",26/09/2012,ZHAOPING ZHOU  YONGTANG ZHENG  JUNBO YI  MINGJUN LEI  QINGNING SU,China,en,CN,UNIV SHENZHEN,46856529,antihuman immunodeficiency virus hiv gene engineering recombinant virus preparation method thereof antihiv gene engineering medicament
EP3202899A1  EP3202899B1,CUSTOM-MADE MEGANUCLEASE AND USE THEREOF,2017-08-09  2020-10-21,ARNOULD SYLVAIN [FR]  BRUNEAU SYLVIA [FR]  CABANIOLS JEAN-PIERRE [FR]  CHAMES PATRICK [FR]  CHOULIKA ANDRÉ [FR]  DUCHATEAU PHILIPPE [FR]  EPINAT JEAN-CHARLES [FR]  GOUBLE AGNÈS [FR]  LACROIX EMMANUEL [BE]  PAQUES FRÉDÉRIC [FR]  PEREZ-MICHAUT CHRISTOPHE [FR]  SMITH JULIANNE [FR]  SOURDIVE DAVID [FR],European Patent Office (EPO),en,EP,CELLECTIS [FR],32829807,custommade meganuclease use thereof
CN110484566A  CN110484566B,Brown-like fat exosome and engineering production method and application thereof,2019-11-22  2021-06-29,YANG GUODONG  ZHOU XUEYING  YUAN LIJUN  SUN WENQI  LI ZHELONG  XING CHANGYANG  ZHAO LIANBI  LIU YUNNAN  WANG CHEN,China,en,CN,4TH MILITARY MEDICAL UNIV CHINESE PLA,68555097,brownlike fat exosome engineering production method application thereof
KR20120001741A,METHOD FOR DETECTING SUBSTANCE IN BIOLOGICAL SAMPLE,04/01/2012,TAKAKURA YOSHIMITSU [JP]  OKA NAOMI [JP]  KONDO KAZUHIRO [JP],South Korea,de,KR,JAPAN TOBACCO INC [JP]  VIRUS IKAGAKU KENKYUSHO INC [JP],42709713,method detecting substance biological sample
CN102653731A,"Recombined infectious bovine rhinotracheitis virus with deletion of gG, TK and gE genes",05/09/2012,AIZHEN GUO  MINMIN ZHANG  MINGLIANG DENG  SHULIN FU  ZHENGFEI LIU  QIAN XIE  HUANCHUN CHEN,China,en,CN,UNIV HUAZHONG AGRICULTURAL,46729462,recombined infectious bovine rhinotracheitis virus deletion gg tk ge genes
CN104448005A  CN104448005B,Fusion protein antigen of duck hepatitis A virus-3 VP1 protein and LTB and application of fusion protein antigen,2015-03-25  2015-08-05,WANG HONGHUA,China,en,CN,QINGDAO HONGHAO BIOLOG TECHNOLOGY CO LTD,52894805,fusion protein antigen duck hepatitis virus vp protein ltb application fusion protein antigen
KR20110137379A,METHOD FOR DETECTING ANTIBODY AGAINST SITH-1 IN BIOLOGICAL SAMPLE,22/12/2011,TAKAKURA YOSHIMITSU [JP]  OKA NAOMI [JP]  KONDO KAZUHIRO [JP]  KOBAYASHI NOBUYUKI [JP],South Korea,de,KR,JAPAN TOBACCO INC [JP]  VIRUS IKAGAKU KENKYUSHO INC [JP],42828318,method detecting antibody sith biological sample
CN104710529A  CN104710529B,Anti-fish viral haemorrhagic septicemia virus single-chain antibody,2015-06-17  2015-10-07,WANG HONGHUA  ZHANG QUANQI  YU HAIYANG  QI JIE  WANG XUBO  WANG ZHIGANG  HE YAN,China,en,CN,OCEAN UNIV CHINA,53410300,antifish viral haemorrhagic septicemia virus singlechain antibody
WO9913818A2  WO9913818A3,MEMBRANE VIRUS HOST RANGE MUTATIONS AND THEIR USES AS VACCINE SUBSTRATES,1999-03-25  2003-12-04,BROWN DENNIS T  HERNANDEZ RACQUEL,World Intellectual Property Organization (WIPO),de,WO,RES DEV FOUNDATION [US],22024455,membrane virus host range mutations uses vaccine substrates
CN106399350A  CN106399350B,Porcine circovirus type II virus-like particle vaccine and preparation method thereof,2017-02-15  2020-02-21,LYU HONG  ZHOU JUNGANG  DUAN JINKUN  YU YAO,China,en,CN,UNIV FUDAN,57998664,porcine circovirus type ii viruslike particle vaccine preparation method thereof
CN116496416A  CN116496416B,Multi-epitope tandem expression protein of bursa of Fabricius structural protein VP2,2023-07-28  2023-11-03,LIU GANG  LI MINGYI  MA FENGLONG  ZHAO BINGBING  WANG XIAORU  XUE HANTAO  CHEN YANXIA  LI YI  LIU XINRAN,China,en,CN,QINGDAO HAIHUA ZHONGKANG TECH CO LTD,87326456,multiepitope tandem expression protein bursa fabricius structural protein vp
CN104628865A  CN104628865B,Pseudorabies virus epitope polypeptide gene engineering vaccine,2015-05-20  2017-12-19,LI DIANMING  PU QIN  ZHANG YUJIN  QI CHUNMEI  TIAN CHUNHUI  LIU TIANTIAN  REN BAILIANG  ZHANG DAOCHUN  DANG JIANGJIANG  WU QIFAN,China,af,CN,GUANGZHOU PUTAI BIOTECHNOLOGY CO LTD,53208144,pseudorabies virus epitope polypeptide gene engineering vaccine
CN1840658A,Recombinant adeno-associated virus expressing neuroprotective peptide and its preparation method and application,04/10/2006,YANG GUANGXIAO LI [CN],China,en,CN,BEIJING DUOMINUO MEDICINE INST [CN],37029856,recombinant adenoassociated virus expressing neuroprotective peptide preparation method application
CN111548394A,Avian bursal disease virus genetic engineering vaccine as well as preparation method and application thereof,18/08/2020,YUE JIANXIN  YUAN YE  WANG FEI  SUN LINGRUI  ZHOU LEILEI  CHEN QIUGE  XIANG WANGZHEN  ZHANG XIUMEI  LI HAOPENG  LI HAOZHE  ZHU HAOMIN  WEI JIE  AN TIEJUN,China,en,CN,QYH BIOTECH CO LTD,71998100,avian bursal disease virus genetic engineering vaccine well preparation method application thereof
